Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.8083217144012451	0	19.903846153846153	9.767015951236896	43.0	8.0	19.903846153846153	9.767015951236896	1035	1035
1.1262145042419434	1	19.80392156862745	7.297648312696995	49.0	10.0	19.80392156862745	7.297648312696995	1010	2045
1.411405086517334	2	20.612244897959183	10.195670002367075	51.0	9.0	20.612244897959183	10.195670002367075	1010	3055
1.6933083534240723	3	19.51923076923077	7.619535581989699	47.0	9.0	19.51923076923077	7.619535581989699	1015	4070
1.996948480606079	4	22.043478260869566	9.652565601139939	67.0	10.0	22.043478260869566	9.652565601139939	1014	5084
2.2880280017852783	5	21.847826086956523	9.91697576469663	57.0	11.0	21.847826086956523	9.91697576469663	1005	6089
2.5861501693725586	6	24.48780487804878	11.15767689611171	58.0	13.0	24.48780487804878	11.15767689611171	1004	7093
2.8668763637542725	7	25.923076923076923	13.894076611690275	63.0	11.0	25.923076923076923	13.894076611690275	1011	8104
3.1606338024139404	8	29.764705882352942	16.78945541549186	86.0	11.0	29.764705882352942	16.78945541549186	1012	9116
3.431536912918091	9	30.0	12.630495309555595	58.0	10.0	30.0	12.630495309555595	1020	10136
3.7129600048065186	10	28.11111111111111	14.392856595813575	80.0	13.0	28.11111111111111	14.392856595813575	1012	11148
4.004689931869507	11	44.43478260869565	16.02939171852084	86.0	14.0	44.43478260869565	16.02939171852084	1022	12170
4.303196907043457	12	35.46666666666667	17.304591555101464	90.0	11.0	35.46666666666667	17.304591555101464	1064	13234
4.593268156051636	13	41.72	22.716549033689073	127.0	17.0	41.72	22.716549033689073	1043	14277
4.885416507720947	14	42.333333333333336	20.82399790839619	117.0	14.0	42.333333333333336	20.82399790839619	1016	15293
5.167285919189453	15	45.54545454545455	21.796011463166362	91.0	19.0	45.54545454545455	21.796011463166362	1002	16295
5.466803312301636	16	47.80952380952381	26.904804045479008	139.0	15.0	47.80952380952381	26.904804045479008	1004	17299
5.79473352432251	17	48.857142857142854	23.509442306252616	98.0	19.0	48.857142857142854	23.509442306252616	1026	18325
6.096599102020264	18	50.3	22.01158785730825	103.0	20.0	50.3	22.01158785730825	1006	19331
6.410927057266235	19	43.608695652173914	16.045422292964005	78.0	21.0	43.608695652173914	16.045422292964005	1003	20334
6.730092763900757	20	59.0	31.286155555001717	157.0	18.0	59.0	31.286155555001717	1003	21337
7.03598427772522	21	57.166666666666664	27.95283726406161	157.0	20.0	57.166666666666664	27.95283726406161	1029	22366
7.3250908851623535	22	53.73684210526316	22.94350522768838	111.0	19.0	53.73684210526316	22.94350522768838	1021	23387
7.682701587677002	23	47.95238095238095	26.877989207804873	145.0	21.0	47.95238095238095	26.877989207804873	1007	24394
7.9554526805877686	24	48.19047619047619	13.43988041195041	70.0	27.0	48.19047619047619	13.43988041195041	1012	25406
8.268589735031128	25	46.40909090909091	21.772917061233937	91.0	16.0	46.40909090909091	21.772917061233937	1021	26427
8.568886041641235	26	61.94117647058823	24.252278457510396	131.0	32.0	61.94117647058823	24.252278457510396	1053	27480
8.856293439865112	27	53.89473684210526	20.511600663352755	108.0	18.0	53.89473684210526	20.511600663352755	1024	28504
9.140247344970703	28	53.21052631578947	22.65201036127262	111.0	23.0	53.21052631578947	22.65201036127262	1011	29515
9.41126823425293	29	60.88235294117647	26.05397644470638	117.0	29.0	60.88235294117647	26.05397644470638	1035	30550
9.699099779129028	30	67.6	34.80191565608614	140.0	31.0	67.6	34.80191565608614	1014	31564
9.999722957611084	31	56.833333333333336	24.962750026567363	105.0	24.0	56.833333333333336	24.962750026567363	1023	32587
10.279314041137695	32	59.0	17.653528225924962	99.0	26.0	59.0	17.653528225924962	1003	33590
10.605662822723389	33	57.5	28.688460707709254	154.0	31.0	57.5	28.688460707709254	1035	34625
10.890329837799072	34	60.35294117647059	19.7094816730443	92.0	28.0	60.35294117647059	19.7094816730443	1026	35651
11.204694747924805	35	56.72222222222222	19.80686063956279	121.0	29.0	56.72222222222222	19.80686063956279	1021	36672
11.486993074417114	36	71.33333333333333	25.128116169387273	129.0	27.0	71.33333333333333	25.128116169387273	1070	37742
11.812952041625977	37	58.611111111111114	24.230694237059666	137.0	28.0	58.611111111111114	24.230694237059666	1055	38797
12.15609335899353	38	70.6	28.915509102671297	113.0	30.0	70.6	28.915509102671297	1059	39856
12.463963270187378	39	63.1875	19.154695083712504	105.0	30.0	63.1875	19.154695083712504	1011	40867
12.817641258239746	40	63.125	15.591965078206146	93.0	35.0	63.125	15.591965078206146	1010	41877
13.13236927986145	41	73.71428571428571	33.467315764635146	165.0	44.0	73.71428571428571	33.467315764635146	1032	42909
13.415330648422241	42	55.578947368421055	17.297142415268254	99.0	29.0	55.578947368421055	17.297142415268254	1056	43965
13.690398693084717	43	68.53333333333333	26.45465722493657	142.0	41.0	68.53333333333333	26.45465722493657	1028	44993
14.029176950454712	44	70.875	35.05330761854008	151.0	25.0	70.875	35.05330761854008	1134	46127
14.304630994796753	45	74.78571428571429	25.45353910679661	134.0	31.0	74.78571428571429	25.45353910679661	1047	47174
14.576858043670654	46	65.625	22.6021984550176	111.0	26.0	65.625	22.6021984550176	1050	48224
14.846528053283691	47	63.0625	20.980552751298045	109.0	22.0	63.0625	20.980552751298045	1009	49233
15.267953872680664	48	55.68421052631579	15.630781478860523	90.0	33.0	55.68421052631579	15.630781478860523	1058	50291
15.583760976791382	49	59.294117647058826	17.696010537048615	97.0	29.0	59.294117647058826	17.696010537048615	1008	51299
